date,theme,season,feast,description,class,liturgical-colour,translated,spb,emberogation,bishop,year-from,year-to,rcl,daily
15/03/2022,violet,Lent,Tuesday after Second Sunday of Lent,Feria,,Violet or Lenten Array,,,,,2021,2022,C,2
16/03/2022,white,Lent,St Boniface of Ross,"Bishop, 8th century",6,White,,,,,2021,2022,C,2
17/03/2022,white,Lent,St Patrick,"Bishop and Patron of Ireland, c.461",4,White,,,,,2021,2022,C,2
18/03/2022,white,Lent,St Cyril of Jerusalem,"Bishop and Teacher of the Faith, 386",6,White,,,,,2021,2022,C,2
19/03/2022,white,Lent,St Joseph of Nazareth,Husband of St Mary,4,White,,,,,2021,2022,C,2
20/03/2022,violet,Lent,Third Sunday of Lent,Lent 3,1,Violet or Lenten Array,,,,,2021,2022,C,2
21/03/2022,red,Lent,Thomas Cranmer,"Bishop, 1556",6,Red,,,,,2021,2022,C,2
22/03/2022,white,Lent,Thomas Ken,"Bishop, 1711",6,White,,,,,2021,2022,C,2
23/03/2022,white,Lent,St Cuthbert,"Bishop, 687",6,White,Translated from 20 March,,,,2021,2022,C,2
24/03/2022,white,Lent,Paul Couturier,"Priest, 1953",6,White,,,,,2021,2022,C,2
25/03/2022,white,Lent,The Annunciation of the Lord,,2,White,,,,,2021,2022,C,2
26/03/2022,violet,Lent,Saturday after Third Sunday of Lent,Feria,,Violet or Lenten Array,,,,,2021,2022,C,2
27/03/2022,violet,Lent,Fourth Sunday of Lent,Lent 4 (Mothering Sunday),1,Violet or Lenten Array,,,,,2021,2022,C,2
28/03/2022,white,Lent,Patrick Forbes and the Aberdeen Doctors,"Bishop, 1635 and Teachers of the Faith",6,White,,,,,2021,2022,C,2
29/03/2022,white,Lent,John Keble,"Priest, 1866",6,White,,,,,2021,2022,C,2
30/03/2022,violet,Lent,Wednesday after Fourth Sunday of Lent,Feria,,Violet or Lenten Array,,,,,2021,2022,C,2
31/03/2022,violet,Lent,Thursday after Fourth Sunday of Lent,Feria,,Violet or Lenten Array,,,,,2021,2022,C,2
01/04/2022,white,Lent,St Gilbert of Caithness,"Bishop, 1245",6,White,,,,,2021,2022,C,2
02/04/2022,violet,Lent,Saturday after Fourth Sunday of Lent,Feria,,Violet or Lenten Array,,,,,2021,2022,C,2
