Import file template field,Start date,,SUBJECT,SUBJECT,SUBJECT,DESCRIPTION,DESCRIPTION,DESCRIPTION,,DESCRIPTION,DESCRIPTION,
Wednesday,2022-12-28,,The Holy Innocents [4] White,,,,"Wednesday 28 December 2022

The Holy Innocents [4] White
28 December
The Remaining Days of Christmas
Year A/1

DAILY EUCHARIST
Jeremiah 31:15-17
Psalm 124
Revelation 21:1-7
Matthew 2:13-18

DAILY PRAYER: Incarnation/Festivals
Morning:
Isaiah 49:13-23
Matthew 18:1-14

Evening:
Isaiah 54:1-13
Mark 10:13-16

COLLECT
Almighty God, our heavenly Father, 
whose Holy Innocents were slaughtered at the hand of Herod:
receive into the arms of your mercy, we pray, all innocent victims;
and, by your great might, frustrate the designs of evil tyrants,
and establish your rule of justice, love, and peace;
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",,,,,
Thursday,2022-12-29,,"Thomas of Canterbury, Bishop and Martyr, 1170 [6] Red",,,,"Thursday 29 December 2022

Thomas of Canterbury, Bishop and Martyr, 1170 [6] Red
29 December
The Remaining Days of Christmas
Year A/1

DAILY EUCHARIST (White)
1 John 2:7-11
Psalm 96:1-9
Luke 2:22-35

DAILY PRAYER: Incarnation 
Isaiah 12:1-6
Revelation 1:1-8
John 7:37-52

COLLECT
O God, 
who wonderfully created 
and yet more wonderfully restored 
        the dignity of our human nature: 
grant that we may share in the divinity of Christ, 
who humbled himself to share in our humanity; 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Friday,2022-12-30,,"Josephine Butler, 1906 [6] White",,,,"Friday 30 December 2022

Josephine Butler, 1906 [6] White
30 December
The Remaining Days of Christmas
Year A/1

DAILY EUCHARIST (White)
1 John 2:12-17
Psalm 96:7-10
Luke 2:36-40

DAILY PRAYER: Incarnation 
Isaiah 25:1-9
Revelation 1:9-20
John 7:53 - 8:11

COLLECT
O God, 
who wonderfully created 
and yet more wonderfully restored 
        the dignity of our human nature: 
grant that we may share in the divinity of Christ, 
who humbled himself to share in our humanity; 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Saturday,2022-12-31,,"John Wycliffe, Priest, 1384 [6] White",,,,"Saturday 31 December 2022

John Wycliffe, Priest, 1384 [6] White
31 December (Hogmanay)
The Remaining Days of Christmas
Year A/1

DAILY EUCHARIST (White)
1 John 2:18-21
Psalm 96:1-2, 11-13
John 1:1-18

DAILY PRAYER: Incarnation 
Morning:
Isaiah 26:1-9
2 Corinthians 5:16 - 6:2
John 8:12-19

Evening:
Isaiah 65:15b-25
Revelation 21:1-6

COLLECT
O God, 
who wonderfully created 
and yet more wonderfully restored 
        the dignity of our human nature: 
grant that we may share in the divinity of Christ, 
who humbled himself to share in our humanity; 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Sunday - NEW YEAR,2023-01-01,,THE NAMING OF JESUS [2] White,,,,"Sunday 1 January 2023

THE NAMING OF JESUS [2] White
1 January 2023 (New Year's Day)
Week of the First Sunday after Christmas
Year A/1

EUCHARIST
Numbers 6:22-27
Psalm 8
Galatians 4:4-7 or Philippians 2:5-11
Luke 2:15-21

DAILY PRAYER: Incarnation/Festivals 
Genesis 17:1-12a, 15-16
Colossians 2:6-12
John 16:23b-30

COLLECT
Eternal Father, 
who gave to your incarnate Son the holy name of Jesus
to be the sign of our salvation:
place in every heart, we pray, 
the love of him who is the Lord of every year 
and Saviour of the world;
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, in time and for eternity.

---

First Sunday after Christmas [2] White
1 January 2023 (New Year's Day)
Week of the First Sunday after Christmas
Year A/1

EUCHARIST
Isaiah 63:7-9
Psalm 148
Hebrews 2:10-18
Matthew 2:13-23

DAILY PRAYER
Isaiah 49:7-13
Colossians 1:9-20
Luke 2.41-52

COLLECT
O God, you make us glad 
with the yearly remembrance of the birth of your Son, Jesus Christ: 
grant that, as we joyfully receive him as our Saviour, 
so we may with confidence behold him as he comes to be our Judge;
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.",,,,,
Monday,2023-01-02,,"Seraphim of Sarov, 1833 [6] White",,,,"Monday 2 January 2023

Seraphim of Sarov, 1833 [6] White
2 January
Week of the First Sunday after Christmas
Year A/1

DAILY EUCHARIST (White)
1 John 1:22-29
Psalm 98:1-5
John 1:19-28

DAILY PRAYER: Incarnation 
Genesis 12:1-7
Hebrews 11:1-12
John 6:35-42, 48-51

COLLECT
O God, 
whose blessed Son, Jesus Christ, was made human,
that we might become your children:
grant that we, 
being made partakers of his divine nature, 
may be shaped in his likeness;
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",,,,,
Tuesday,2023-01-03,,Tuesday after the First Sunday after Christmas,,,,"Tuesday 3 January 2023

Tuesday after the First Sunday after Christmas
3 January
Week of the First Sunday after Christmas
Year A/1

DAILY EUCHARIST (White)
1 John 3:1-6
Psalm 98:1-2, 4-7
John 1:29-34

DAILY PRAYER: Incarnation 
Genesis 28:10-22
Hebrews 11:13-22
John 10:7-17

COLLECT
O God, 
whose blessed Son, Jesus Christ, was made human,
that we might become your children:
grant that we, 
being made partakers of his divine nature, 
may be shaped in his likeness;
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",,,,,
Wednesday,2023-01-04,,Wednesday after the First Sunday after Christmas,,,,"Wednesday 4 January 2023

Wednesday after the First Sunday after Christmas
4 January
Week of the First Sunday after Christmas
Year A/1

DAILY EUCHARIST (White)
1 John 3:7-10
Psalm 98:1-2, 8-10
John 1:35-42

DAILY PRAYER: Incarnation 
Exodus 3:1-12
Hebrews 11:23-31
John 14:6-14

COLLECT
O God, 
whose blessed Son, Jesus Christ, was made human,
that we might become your children:
grant that we, 
being made partakers of his divine nature, 
may be shaped in his likeness;
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",,,,,
Thursday,2023-01-05,,Thursday after the First Sunday after Christmas,,,,"Thursday 5 January 2023

Thursday after the First Sunday after Christmas
5 January
Week of the First Sunday after Christmas
Year A/1

DAILY EUCHARIST (White)
1 John 3:11-18
Psalm 100
John 1:43-51

DAILY PRAYER: Incarnation 
Morning:
Joshua 1:1-9
Hebrews 11:32 - 12:2
John 15:1-16

Evening:
Isaiah 66:18-22
Romans 15:7-13

COLLECT
O God, 
whose blessed Son, Jesus Christ, was made human,
that we might become your children:
grant that we, 
being made partakers of his divine nature, 
may be shaped in his likeness;
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",,,,,
Friday,2023-01-06,,THE EPIPHANY [1] White,,,,"Friday 6 January 2023

THE EPIPHANY [1] White
6 January
Epiphany
Year A/1

EUCHARIST
Isaiah 60:1-6
Psalm 72:1-7, 10-14
Ephesians 3:1-12
Matthew 2:1-12

DAILY PRAYER: Incarnation 
Isaiah 52:7-10
Revelation 21:22-27
Matthew 12:14-21

COLLECT
O God, 
who, by the guidance of a star, 
revealed your only-begotten Son to the nations:
Grant that we, who know you now by faith, 
may at the last be led to see your glory face to face; 
through the same Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.
",,,,,
Saturday,2023-01-07,,Saturday after The Epiphany,,,,"Saturday after The Epiphany
7 January
The days following Epiphany
Year A/1

DAILY EUCHARIST (White)
1 John 3:18 - 4:6
Psalm 2
Matthew 4:12-17, 23-25

DAILY PRAYER: Incarnation 
Isaiah 52:3-6
Revelation 2:1-7
John 2:1-11

COLLECT
O God, 
who, by the guidance of a star, 
revealed your only-begotten Son to the nations:
Grant that we, who know you now by faith, 
may at the last be led to see your glory face to face; 
through the same Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Sunday,2023-01-08,,First Sunday after Epiphany: The Baptism of the Lord [2] White,,,,"Sunday 8 January 2023

First Sunday after Epiphany: The Baptism of the Lord [2] White
Week of Proper 1
Year A/1

EUCHARIST
Isaiah 42:1-9
Psalm 29
Acts 10:34-43
Matthew 3:13-17

DAILY PRAYER: Festivals 
Joshua 3:1-8, 14-17
Hebrews 1:1-12
Matthew 3:13-17

ALTERNATIVE PSALMS
Morning: Psalm 46
Evening: Psalm 89:20-29

COLLECT
Eternal Father, 
who at the baptism of Jesus revealed him to be your Son, 
anointing him with the Holy Spirit:
grant that we, being born again,
and made your children by adoption and grace, 
may daily be renewed by your Holy Spirit; 
through the same Jesus Christ, our Lord, 
who lives and reigns with you, 
in the unity of the Holy Spirit, 
one God, world without end.",,,,,
Monday,2023-01-09,,Monday after First Sunday after Epiphany,,,,"Monday 9 January 2023

Monday after First Sunday after Epiphany
Week of Proper 1
Year A/1

DAILY EUCHARIST (Green)
Hebrews 1:1-6
Psalm 97
Mark 1:14-20

DAILY PRAYER: Week A 
Isaiah 40:1-17
Ephesians 1:1-14
Mark 1:1-13

COLLECT
O Lord, in your loving kindness, 
hear the prayers of your people as they call upon you:
that they may discern your will,
and also be given strength to fulfil it;
through Jesus Christ, our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",,,,,
Tuesday,2023-01-10,,"William Laud, Bishop, 1645 [6] Red",,,,"Tuesday 10 January 2023

William Laud, Bishop, 1645 [6] Red
Tuesday after First Sunday after Epiphany
Week of Proper 1
Year A/1

DAILY EUCHARIST (Green)
Hebrews 2:5-12
Psalm 8
Mark 1:21-28

DAILY PRAYER: Week A 
Isaiah 40:18-31
Ephesians 1:15-23
Mark 1:14-28

COLLECT
O Lord, in your loving kindness, 
hear the prayers of your people as they call upon you:
that they may discern your will,
and also be given strength to fulfil it;
through Jesus Christ, our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",,,,,
Wednesday,2023-01-11,,Wednesday after First Sunday after Epiphany,,,,"Wednesday 11 January 2023

David, King of Scots, 1153 [6] Red
Wednesday after First Sunday after Epiphany
Week of Proper 1
Year A/1

DAILY EUCHARIST (Green)
Hebrews 2:14-18
Psalm 105:1-15
Mark 1:29-39

DAILY PRAYER: Week A 
Isaiah 41:1-16
Ephesians 2:1-10
Mark 1:29-45

COLLECT
O Lord, in your loving kindness, 
hear the prayers of your people as they call upon you:
that they may discern your will,
and also be given strength to fulfil it;
through Jesus Christ, our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",,,,,
Thursday,2023-01-12,,Thursday after First Sunday after Epiphany,,,,"Thursday 12 January 2023

Thursday after First Sunday after Epiphany
Week of Proper 1
Year A/1

DAILY EUCHARIST (Green)
Hebrews 3:1-14
Psalm 95:6-11
Mark 1:40-45

DAILY PRAYER: Week A 
Isaiah 41:17-29
Ephesians 2:11-22
Mark 2:1-12

COLLECT
O Lord, in your loving kindness, 
hear the prayers of your people as they call upon you:
that they may discern your will,
and also be given strength to fulfil it;
through Jesus Christ, our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",,,,,
Friday,2023-01-13,,"Kentigern (or Mungo), Bishop c.603 [4] White",,,,"Friday 13 January 2023

Kentigern (or Mungo), Bishop c.603 [4] White
Week of Proper 1
Year A/1

EUCHARIST
Isaiah 52:7-10
Psalm 16:5-11
1 Thessalonians 2:2-12 or 1 Corinthians 9:16-19, 22-23
Matthew 28:16-20

MORNING PRAYER: Festivals
Isaiah 44:1-8
1 Thessalonians 1:2-10 or 2 Corinthians 2:12 - 3:11

EVENING PRAYER: Festivals
Sirah 50:1-24 or Isaiah 52:7-12
John 1:1-18

COLLECT
O God, who in your wonderful providence 
chose blessed Kentigern, your bishop, 
to be a teacher and guardian of your Church: 
grant, we pray, that we may ever follow the holy example 
of him whose feast day we now celebrate;
through Jesus Christ, our Lord,
who lives and reigns with you,
in the unity of the Holy Spirit,
one God, world without end.

---

Friday after First Sunday after Epiphany
Week of Proper 1
Year A/1

DAILY EUCHARIST (Green)
Hebrews 4:1-5, 11
Psalm 78:3-8
Mark 2:1-12

DAILY PRAYER: Week A 
Isaiah 42:(1-9), 10-17
Ephesians 3:1-13
Mark 2:13-22

COLLECT
O Lord, in your loving kindness, 
hear the prayers of your people as they call upon you:
that they may discern your will,
and also be given strength to fulfil it;
through Jesus Christ, our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",,,,,
Saturday,2023-01-14,,"Hilary of Poitiers, Bishop and Teacher of the Faith, c.367 [6] White",,,,"Saturday 14 January 2023

Hilary of Poitiers, Bishop and Teacher of the Faith, c.367 [6] White
Saturday after First Sunday after Epiphany
Week of Proper 1
Year A/1

DAILY EUCHARIST  (Green)
Hebrews 4:12-16
Psalm 19:7-14
Mark 2:13-17

DAILY PRAYER: Week A 
Isaiah 43:1-13
Ephesians 3:14-21
Mark 2:23 - 3:6

COLLECT
O Lord, in your loving kindness, 
hear the prayers of your people as they call upon you:
that they may discern your will,
and also be given strength to fulfil it;
through Jesus Christ, our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",,,,,
Sunday,2023-01-15,,Second Sunday after Epiphany [3] Green,,,,"Sunday 15 January 2023

Second Sunday after Epiphany [3] Green
Week of Proper 2
Year A/1

EUCHARIST
Isaiah 49:1-7
Psalm 40:1-11
1 Corinthians 1:1-9
John 1:29-42

DAILY PRAYER: Week B 
Ezekiel 2:1-7
Hebrews 6:17 - 7:10
Matthew 8:5-13

ALTERNATIVE PSALMS
Morning: Psalm 96
Evening: Psalm 145:1-12

COLLECT
Almighty and eternal God,
ruler of heaven and earth:
mercifully hear the prayers of your people,
and grant your peace to our times;
through Jesus Christ, our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",,,,,
Monday,2023-01-16,,Monday after Second Sunday after Epiphany,,,,"Monday 16 January 2023

Monday after Second Sunday after Epiphany
Week of Proper 2
Year A/1

DAILY EUCHARIST (Green)
Hebrews 5:1-10
Psalm 110
Mark 2:18-22

DAILY PRAYER: Week B 
Isaiah 43:14 - 44:8
Ephesians 4:1-16
Mark 3:7-19a

COLLECT
Almighty and eternal God,
ruler of heaven and earth:
mercifully hear the prayers of your people,
and grant your peace to our times;
through Jesus Christ, our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",,,,,
Tuesday,2023-01-17,,"Antony of Egypt, Abbot, 356 [6] White",,,,"Tuesday 17 January 2023

Antony of Egypt, Abbot, 356 [6] White
Tuesday after Second Sunday after Epiphany
Week of Proper 2
Year A/1

DAILY EUCHARIST  (Green)
Hebrews 6:10-20
Psalm 111
Mark 2:23-28

DAILY PRAYER: Week B 
Isaiah 44:9-23
Ephesians 4:17-32
Mark 3:19b-35

COLLECT
Almighty and eternal God,
ruler of heaven and earth:
mercifully hear the prayers of your people,
and grant your peace to our times;
through Jesus Christ, our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",,,,,
Wednesday,2023-01-18,,The Confession of Peter [6] White,,,,"Wednesday 18 January 2023

The Confession of Peter [6] White
Wednesday after Second Sunday after Epiphany
Week of Proper 2
Year A/1

DAILY EUCHARIST (Green)
Hebrews 7:1-3, 15-17
Psalm 110
Mark 3:1-6

DAILY PRAYER: Week B 
Isaiah 44:24 - 45:7
Ephesians 5:1-14
Mark 4:1-20

COLLECT
Almighty and eternal God,
ruler of heaven and earth:
mercifully hear the prayers of your people,
and grant your peace to our times;
through Jesus Christ, our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",,,,,
Thursday,2023-01-19,,Saints and Martyrs of the Scottish Reformation [6] Red,,,,"Thursday 19 January 2023

Saints and Martyrs of the Scottish Reformation [6] Red
Week of Proper 2
Year A/1

LECTIONARY
1 Kings 11:26-40
Psalm 133
Galatians 2:1-10 (11-14)
Mark 9:33-41

COLLECT
Most Merciful God,
give us such grace that we may revere your holy Word
and celebrate your Sacraments with order and with joy;
grant to your Church that peace and unity which is your will,
that those who have been divided on earth
may be reconciled in your eternal presence;
through Jesus Christ our Lord. Amen.

---

Thursday after Second Sunday after Epiphany
Week of Proper 2
Year A/1

DAILY EUCHARIST (Green)
Hebrews 7:23 - 8:7
Psalm 40:8-12, 17-19
Mark 3:7-12

DAILY PRAYER: Week B 
Isaiah 45:5-17
Ephesians 5:15-33
Mark 4:21-34

COLLECT
Almighty and eternal God,
ruler of heaven and earth:
mercifully hear the prayers of your people,
and grant your peace to our times;
through Jesus Christ, our Lord,
who lives and reigns with you, 
in the unity of the Holy Spirit,
one God, world without end.",,,,,
