Subject,Start Date,Start Time,End Date,End Time,All Day Event,Reminder on/off,Description,Priority,Sensitivity,Show time as
"Hilary of Poitiers, Bishop and Teacher of the Faith, c.367 [6] White (translated from 14 January)",15/01/2019,,,,TRUE,FALSE,"Hilary of Poitiers, Bishop and Teacher of the Faith, c.367 [6] White (translated from 14 January)
Tuesday after First Sunday after Epiphany
Week of Proper 1

DAILY EUCHARIST (Green)
Hebrews 2:5-12
Psalm 8
Mark 1:21-28

DAILY PRAYER: Week A 
Isaiah 40:18-31
Ephesians 1:15-23
Mark 1:14-28",Normal,Normal,3
Wednesday after First Sunday after Epiphany,16/01/2019,,,,TRUE,FALSE,"Wednesday after First Sunday after Epiphany
Week of Proper 1

DAILY EUCHARIST (Green)
Hebrews 2:14-18
Psalm 105:1-15
Mark 1:29-39

DAILY PRAYER: Week A 
Isaiah 41:1-16
Ephesians 2:1-10
Mark 1:29-45",Normal,Normal,3
"Anthony of Egypt, Abbot, 356 [6] White",17/01/2019,,,,TRUE,FALSE,"Anthony of Egypt, Abbot, 356 [6] White
Thursday after First Sunday after Epiphany
Week of Proper 1

DAILY EUCHARIST (Green)
Hebrews 3:1-14
Psalm 95:6-11
Mark 1:40-45

DAILY PRAYER: Week A 
Isaiah 41:17-29
Ephesians 2:11-22
Mark 2:1-12",Normal,Normal,3
The Confession of Peter [6] White,18/01/2019,,,,TRUE,FALSE,"The Confession of Peter [6] White
Friday after First Sunday after Epiphany
Week of Proper 1

DAILY EUCHARIST (Green)
Hebrews 4:1-5, 11
Psalm 78:3-8
Mark 2:1-12

DAILY PRAYER: Week A 
Isaiah 42:(1-9), 10-17
Ephesians 3:1-13
Mark 2:13-22",Normal,Normal,3
Saturday after First Sunday after Epiphany,19/01/2019,,,,TRUE,FALSE,"Saturday after First Sunday after Epiphany
Week of Proper 1

DAILY EUCHARIST  (Green)
Hebrews 4:12-16
Psalm 19:7-14
Mark 2:13-17

DAILY PRAYER: Week A 
Isaiah 43:1-13
Ephesians 3:14-21
Mark 2:23 - 3:6",Normal,Normal,3
Second Sunday after Epiphany [3] Green,20/01/2019,,,,TRUE,FALSE,"Second Sunday after Epiphany [3] Green
Week of Proper 2

EUCHARIST
Isaiah 62:1-5
Psalm 36:5-10
1 Corinthians 12:1-11
John 2:1-11

DAILY PRAYER: Week B 
Ezekiel 2:1-7
Hebrews 6:17 - 7:10
Matthew 8:5-13

ALTERNATIVE PSALMS
Morning: Psalm 96
Evening: Psalm 145:1-12",Normal,Normal,3
"Agnes, Martyr, c.304 [6] Red",21/01/2019,,,,TRUE,FALSE,"Agnes, Martyr, c.304 [6] Red
Monday after Second Sunday after Epiphany
Week of Proper 2

DAILY EUCHARIST (Green)
Hebrews 5:1-10
Psalm 110
Mark 2:18-22

DAILY PRAYER: Week B 
Isaiah 43:14 - 44:8
Ephesians 4:1-16
Mark 3:7-19a",Normal,Normal,3
Tuesday after Second Sunday after Epiphany,22/01/2019,,,,TRUE,FALSE,"Tuesday after Second Sunday after Epiphany
Week of Proper 2

DAILY EUCHARIST  (Green)
Hebrews 6:10-20
Psalm 111
Mark 2:23-28

DAILY PRAYER: Week B 
Isaiah 44:9-23
Ephesians 4:17-32
Mark 3:19b-35",Normal,Normal,3
Wednesday after Second Sunday after Epiphany,23/01/2019,,,,TRUE,FALSE,"Wednesday after Second Sunday after Epiphany
Week of Proper 2

DAILY EUCHARIST (Green)
Hebrews 7:1-3, 15-17
Psalm 110
Mark 3:1-6

DAILY PRAYER: Week B 
Isaiah 44:24 - 45:7
Ephesians 5:1-14
Mark 4:1-20",Normal,Normal,3
"Francis de Sales, Bishop, 1622 [6] White",24/01/2019,,,,TRUE,FALSE,"Francis de Sales, Bishop, 1622 [6] White
Thursday after Second Sunday after Epiphany
Week of Proper 2

DAILY EUCHARIST (Green)
Hebrews 7:23 - 8:7
Psalm 40:8-12, 17-19
Mark 3:7-12

DAILY PRAYER: Week B 
Isaiah 45:5-17
Ephesians 5:15-33
Mark 4:21-34",Normal,Normal,3
"The Conversion of Paul, Apostle [4] White",25/01/2019,,,,TRUE,FALSE,"The Conversion of Paul, Apostle [4] White

EUCHARIST
Acts 26:9-23
Psalm 67
Galatians 1:11-24
Matthew 10:16-22 or Matthew 19:27-30

MORNING PRAYER: Festivals
Isaiah 45:18-25
Philippians 3:4b-11

EVENING PRAYER: Festivals
Sirach 39:1-10
Acts 9:1-22

---

Friday after Second Sunday after Epiphany
Week of Proper 2

DAILY EUCHARIST (Green)
Hebrews 8:6-13
Psalm 85:7-13
Mark 3:13-19

DAILY PRAYER: Week B 
Isaiah 45:18-25
Ephesians 6:1-9
Mark 4:35-41",Normal,Normal,3
"Timothy and Titus, Bishops [6] White",26/01/2019,,,,TRUE,FALSE,"Timothy and Titus, Bishops [6] White
Saturday after Second Sunday after Epiphany
Week of Proper 2

DAILY EUCHARIST (Green)
Hebrews 9:2-3, 11-14
Psalm 47
John 8:51-59

DAILY PRAYER: Week B 
Isaiah 46:1-13
Ephesians 6:10-24
Mark 5:1-20",Normal,Normal,3
Third Sunday after Epiphany [3] Green,27/01/2019,,,,TRUE,FALSE,"Third Sunday after Epiphany [3] Green
Week of Proper 3

EUCHARIST
Nehemiah 8:1-3, 5-6, 8-10
Psalm 19
1 Corinthians 12:12-31a
Luke 4:14-21

DAILY PRAYER: Week C 
Ecclesiastes 3:1-11
Titus 2:1-8, 11-14
Matthew 4:12-23

ALTERNATIVE PSALMS
Morning: Psalm 33
Evening: Psalm 113",Normal,Normal,3
"Thomas Aquinas, Teacher of the Faith, 1274 [6] White",28/01/2019,,,,TRUE,FALSE,"Thomas Aquinas, Teacher of the Faith, 1274 [6] White
Monday after Third Sunday after Epiphany
Week of Proper 3

DAILY EUCHARIST (Green)
Hebrews 9:15, 24-28
Psalm 98
Mark 3:19b-30

DAILY PRAYER: Week C 
Isaiah 47:1-15
Galatians 1:1-17
Mark 5:21-43",Normal,Normal,3
"John Chrysostom, Bishop and Teacher of the Faith, 407 [6] White (translated from 27 January)",29/01/2019,,,,TRUE,FALSE,"John Chrysostom, Bishop and Teacher of the Faith, 407 [6] White (translated from 27 January)
Tuesday after Third Sunday after Epiphany
Week of Proper 3

DAILY EUCHARIST (Green)
Hebrews 10:1-10
Psalm 40:1-11
Mark 3:31-35

DAILY PRAYER: Week C 
Isaiah 48:1-21
Galatians 1:18 - 2:10
Mark 6:1-13",Normal,Normal,3
"Charles I, King, 1649 [6] Red",30/01/2019,,,,TRUE,FALSE,"Charles I, King, 1649 [6] Red
Wednesday after Third Sunday after Epiphany
Week of Proper 3

DAILY EUCHARIST (Green)
Hebrews 10:11-18
Psalm 110:1-4
Mark 4:1-20

DAILY PRAYER: Week C 
Isaiah 49:1-12
Galatians 2:11-21
Mark 6:13-29",Normal,Normal,3
